0,0
11.5,-90
23,-90
34.5,-90
-46,72
-46,54
-57.5,54
-69,60
-80.5,60
-92,60
-103.5,60
-115,60
-115,75
-103.5,75
-92,75
-80.5,75
-69,75
-57.5,72
46,-90
57.5,-90
69,-90
80.5,-90
92,-90
103.5,-90
115,-90
115,-75
103.5,-75
92,-75
80.5,-75
69,-75
57.5,-72
46,-72
11.5,-18
23,-60
46,-54
57.5,-54
69,-60
80.5,-60
92,-60
103.5,-60
115,-60
115,-45
103.5,-45
92,-45
80.5,-45
69,-45
69,-30
80.5,-30
92,-30
103.5,-30
92,-15
80.5,-15
69,-15
57.5,-36
46,-36
34.5,-45
23,-30
34.5,-22.5
46,-18
57.5,-18
57.5,0
69,0
80.5,0
92,0
11.5,54
23,30
23,0
34.5,0
34.5,22.5
46,18
46,0
57.5,18
69,15
80.5,15
92,15
92,30
80.5,30
69,30
69,45
80.5,45
92,45
92,60
80.5,60
69,60
57.5,54
57.5,36
46,36
34.5,45
23,60
34.5,67.5
46,54
46,72
57.5,72
69,75
80.5,75
92,75
-11.5,-54
23,90
34.5,90
46,90
57.5,90
69,90
80.5,90
92,90
-92,-75
-80.5,-75
-69,-75
-57.5,-72
-46,-72
-34.5,-67.5
-23,-60
-23,-30
-34.5,-45
-46,-54
-57.5,-54
-69,-60
-80.5,-60
-92,-60
-92,-45
-80.5,-45
-69,-45
-57.5,-36
-46,-36
-34.5,-22.5
-46,-18
-69,-30
-80.5,-30
-92,-30
-11.5,18
-23,0
-34.5,0
-46,0
-57.5,-18
-69,-15
-80.5,-15
-92,-15
-92,0
-80.5,0
-69,0
-57.5,0
-57.5,18
-69,15
-80.5,15
-92,15
-103.5,30
-92,30
-80.5,30
-69,30
-46,18
-34.5,22.5
-23,30
-23,60
-34.5,45
-46,36
-57.5,36
-69,45
-80.5,45
-92,45
-103.5,45
-115,45
