0,0
9,-90
18,-90
28,-90
37,-90
46,-90
-46,75
-55,75
-64,78
-74,78
-83,79
-92,79
-101,79
-110,78
-120,78
120,-90
110,-90
101,-90
92,-90
83,-90
74,-90
64,-90
55,-90
46,-75
55,-75
64,-78
74,-78
83,-79
92,-79
101,-79
110,-78
120,-78
18,-54
28,-66
37,-54
46,-60
55,-60
64,-66
74,-66
83,-68
92,-68
101,-68
110,-66
120,-66
110,-54
101,-56
92,-56
83,-56
74,-54
64,-54
55,-45
46,-45
28,-42
37,-36
46,-30
55,-30
64,-42
74,-42
83,-45
92,-45
101,-45
110,-42
110,-30
101,-34
9,-18
18,-18
28,-18
37,-18
46,-15
55,-15
64,-18
64,-30
74,-30
83,-34
92,-34
101,-23
92,-23
83,-23
74,-18
83,-11
92,-11
92,0
83,0
74,-6
64,-6
55,0
46,0
37,0
28,6
37,18
46,15
55,15
64,6
74,6
83,11
92,11
9,54
18,18
28,30
37,36
46,30
64,18
74,18
83,23
92,23
101,23
101,34
92,34
83,34
74,30
64,30
55,30
46,45
55,45
64,42
74,42
83,45
92,45
101,45
92,56
83,56
74,54
64,54
55,60
64,66
74,66
83,68
92,68
18,90
18,54
28,54
37,54
46,60
46,75
55,75
64,78
74,78
83,79
92,79
92,90
83,90
74,90
64,90
55,90
46,90
37,90
37,72
28,78
-28,-78
-37,-72
-46,-75
-55,-75
-64,-78
-74,-78
-83,-79
-92,-79
-92,-68
-83,-68
-74,-66
-64,-66
-9,-54
-18,-54
-28,-54
-37,-54
-46,-60
-55,-60
-64,-54
-74,-54
-83,-56
-92,-56
-101,-45
-92,-45
-83,-45
-74,-42
-64,-42
-55,-45
-46,-45
-37,-36
-28,-30
-18,-18
-28,-6
-37,-18
-46,-30
-55,-30
-64,-30
-74,-30
-83,-34
-92,-34
-101,-34
-101,-23
-92,-23
-83,-23
-9,18
-18,18
-28,18
-37,0
-46,-15
-55,-15
-64,-18
-74,-18
-83,-11
-92,-11
-92,0
-83,0
-74,-6
-64,-6
-55,0
-46,0
-55,15
-64,6
-74,6
-83,11
-92,11
-101,23
-92,23
-83,23
-74,18
-64,18
-64,30
-74,30
-83,34
-92,34
-101,34
-110,30
-18,54
-28,42
-37,36
-37,18
-46,15
-46,30
-55,30
-64,42
-74,42
-83,45
-92,45
-101,45
-110,42
-110,54
-101,56
-92,56
-83,56
-74,54
-64,54
-55,45
-46,45
-37,54
-28,66
-46,60
-55,60
-64,66
-74,66
-83,68
-92,68
-101,68
-110,66
-120,66
